Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source_Airport,Source_City,Source_Latitude,Source_Longitude,Source_Altitude,Destination_Airport,Destination_City,Destination_Latitude,Destination_Longitude,Destination_Altitude,Source_geometry,Destination_geometry,distance,Source_Popution,Destination_Popution
DL,2009,IAH,3550,ATL,3682,,0,M88 717 319,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(29.98439979553223, -95.34140014648438)","(33.6367, -84.428101)",1109.114836,"7,066,141","6,020,364"
DL,2009,IAH,3550,CVG,3488,Y,0,CR9,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Cincinnati Northern Kentucky International Airport,Cincinnati,39.04880142,-84.6678009,896,"(29.98439979553223, -95.34140014648438)","(39.0488014221, -84.6678009033)",1402.101599,"7,066,141","2,221,208"
DL,2009,IAH,3550,DTW,3645,,0,717,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(29.98439979553223, -95.34140014648438)","(42.212398529052734, -83.35340118408203)",1730.15207,"7,066,141","4,319,629"
DL,2009,IAH,3550,LGA,3697,Y,0,E75 E70 CR9,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,La Guardia Airport,New York,40.77719879,-73.87259674,21,"(29.98439979553223, -95.34140014648438)","(40.77719879, -73.87259674)",2279.422376,"7,066,141","19,216,182"
DL,2009,IAH,3550,MEM,3473,Y,0,CRJ,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Memphis International Airport,Memphis,35.04240036,-89.97669983,341,"(29.98439979553223, -95.34140014648438)","(35.04240036010742, -89.97669982910156)",753.8580779,"7,066,141","1,346,045"
DL,2009,IAH,3550,MSP,3858,Y,0,CR7 E70 E75 CR9,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(29.98439979553223, -95.34140014648438)","(44.882, -93.221802)",1663.88904,"7,066,141","3,654,908"
DL,2009,IAH,3550,SEA,3577,Y,0,73J,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Seattle Tacoma International Airport,Seattle,47.449001,-122.308998,433,"(29.98439979553223, -95.34140014648438)","(47.449001, -122.308998)",3015.613768,"7,066,141","3,979,845"
DL,2009,IAH,3550,SLC,3536,,0,319,George Bush Intercontinental Houston Airport,Houston,29.9843998,-95.34140015,97,Salt Lake City International Airport,Salt Lake City,40.78839874,-111.9779968,4227,"(29.98439979553223, -95.34140014648438)","(40.78839874267578, -111.97799682617188)",1923.318723,"7,066,141","1,232,696"
DL,2009,ICT,3457,ATL,3682,,0,M88,Wichita Eisenhower National Airport,Wichita,37.649899,-97.433098,1333,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(37.649899, -97.433098)","(33.6367, -84.428101)",1257.81343,"640,218","6,020,364"
DL,2009,ICT,3457,MSP,3858,Y,0,CRJ,Wichita Eisenhower National Airport,Wichita,37.649899,-97.433098,1333,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(37.649899, -97.433098)","(44.882, -93.221802)",876.9694724,"640,218","3,654,908"
DL,2009,IDA,4100,SLC,3536,Y,0,CRJ,Idaho Falls Regional Airport,Idaho Falls,43.514599,-112.070999,4744,Salt Lake City International Airport,Salt Lake City,40.78839874,-111.9779968,4227,"(43.514599, -112.070999)","(40.78839874267578, -111.97799682617188)",302.9135864,"151,530","1,232,696"
DL,2009,ILM,3845,ATL,3682,,0,319,Wilmington International Airport,Wilmington,34.27059937,-77.90260315,32,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(34.27059936523437, -77.90260314941406)","(33.6367, -84.428101)",607.1600121,"297,533","6,020,364"
DL,2009,ILM,3845,LGA,3697,Y,0,ERJ,Wilmington International Airport,Wilmington,34.27059937,-77.90260315,32,La Guardia Airport,New York,40.77719879,-73.87259674,21,"(34.27059936523437, -77.90260314941406)","(40.77719879, -73.87259674)",804.994025,"297,533","19,216,182"
DL,2009,IMT,6837,MSP,3858,Y,0,CRJ,Ford Airport,Iron Mountain,45.81840134,-88.11450195,1182,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(45.8184013367, -88.11450195309999)","(44.882, -93.221802)",413.4604029,,"3,654,908"
DL,2009,IMT,6837,RHI,5765,Y,0,CRJ,Ford Airport,Iron Mountain,45.81840134,-88.11450195,1182,Rhinelander Oneida County Airport,Rhinelander,45.63119888,-89.46749878,1624,"(45.8184013367, -88.11450195309999)","(45.63119888305664, -89.46749877929688)",107.3600459,,
DL,2009,IND,3585,ATL,3682,,0,M88 320  M90,Indianapolis International Airport,Indianapolis,39.7173,-86.294403,797,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(39.7173, -86.294403)","(33.6367, -84.428101)",695.0407045,"2,074,537","6,020,364"
DL,2009,IND,3585,BOS,3448,Y,0,E75,Indianapolis International Airport,Indianapolis,39.7173,-86.294403,797,General Edward Lawrence Logan International Airport,Boston,42.36429977,-71.00520325,20,"(39.7173, -86.294403)","(42.36429977, -71.00520325)",1316.77225,"2,074,537","4,873,019"
DL,2009,IND,3585,DTW,3645,,0,320 M88 ERJ,Indianapolis International Airport,Indianapolis,39.7173,-86.294403,797,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(39.7173, -86.294403)","(42.212398529052734, -83.35340118408203)",371.528257,"2,074,537","4,319,629"
